tm_inchikey	mean_similarity	std_similarity	triangular_simmx_size	route_type
HNVKXWVRLLBONM-UHFFFAOYSA-N	0.7109981378704797	0.1154519042144451	45	predicted
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	0.7049854040610299	0.15110248239670018	45	predicted
IKPNRMYDOSNVAU-QEJBIBHGSA-N	0.8885980985205815	0.06345043304050758	45	predicted
ILMBNGXIGGVYQY-UHFFFAOYSA-N	0.4364347563789657	0.42753684692019495	45	predicted
INSNUPHZRXHOTA-UHFFFAOYSA-N	0.2917207918893152	0.4473662734837322	45	predicted
INTQQNKAQDJOOI-UHFFFAOYSA-N	0.8906043370426258	0.1125090598532598	45	predicted
IQNMCFJVBQJVNL-UHFFFAOYSA-N	0.8029618864099225	0.17134236581528164	6	predicted
JBLQNFBXKOAIHG-FCEWJHQRSA-N	0.7586127936738392	0.11355813673116585	45	predicted
JCWGKHHVSUBNRQ-UHFFFAOYSA-N	0.6941513038418119	0.1667893710476072	45	predicted
JDCQEVCYOJOPLE-UHFFFAOYSA-N	0.611011170765302	0.2209101582714605	45	predicted
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	0.70652683563673	0.15537278952792422	45	predicted
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	0.7857285779781105	0.1762527838056869	45	predicted
JIWUBWZSJPAPIN-UHFFFAOYSA-N	0.6470423483537379	0.1954857131457283	45	predicted
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	0.5430444573374806	0.19090063028424223	45	predicted
JKBYBPNRTMHEGS-UHFFFAOYSA-N	0.6833341913502261	0.22031218000741823	45	predicted
JOIONRWKOGDQOG-CYBMUJFWSA-N	0.5967154091187493	0.05662801017512655	3	predicted
JSYDPBIPJQMGFS-UHFFFAOYSA-N	0.8643055836005895	0.05947309967603241	45	predicted
JZVSKUKBCKURLB-VULHUXJZSA-N	0.8481906108166202	0.10498638105975797	45	predicted
KEAPWCUSGPWISG-UHFFFAOYSA-N	1.0	0.0	45	predicted
KJDKPNUDCPAPKM-UHFFFAOYSA-N	0.4129975209088951	0.25740782060884065	45	predicted
KWSGPJCQWZMUQM-UHFFFAOYSA-N	0.7968332572388827	0.07965402635402231	45	predicted
LAHWVDUZLRNQDG-UHFFFAOYSA-N	0.6827667126005049	0.1362734278169215	45	predicted
LDZJFVOUPUFOHX-UHFFFAOYSA-N	0.6632306715110617	0.08421799944779168	45	predicted
LGPNQALKGDDVBD-CYBMUJFWSA-N	0.7520226340974241	0.14613760883244342	45	predicted
LHEYGVSDVBEYQF-QMMMGPOBSA-N	0.6951772582333329	0.2603226684521392	45	predicted
LLRICYBLVFJBJB-UHFFFAOYSA-N	1.0	0.0	45	predicted
LNJJWYXXKNGHHM-IYBDPMFKSA-N	0.915265197327691	0.08015779602767886	45	predicted
